data_pas;focos
2018-11-24;1582
2018-11-25;2612
2018-11-26;1740
2018-11-27;1153
2018-11-28;1434
2018-11-29;1171
2018-11-30;740
2018-12-01;501
2018-12-02;416
2018-12-03;692
2018-12-04;961
2018-12-05;957
2018-12-06;1190
2018-12-07;1144
2018-12-08;1345
2018-12-09;879
2018-12-10;1059
2018-12-11;1643
2018-12-12;1779
2018-12-13;2056
2018-12-14;2666
2018-12-15;1988
2018-12-16;1485
2018-12-17;2523
2018-12-18;2336
2018-12-19;3301
2018-12-20;3391
2018-12-21;3130
2018-12-22;2386
2018-12-23;734
2018-12-24;669
2018-12-25;769
2018-12-26;1418
2018-12-27;4054
2018-12-28;5492
2018-12-29;2239
2018-12-30;1641
2018-12-31;1127
2019-01-01;1329
2019-01-02;3275
2019-01-03;4613
2019-01-04;5905
2019-01-05;3236
2019-01-06;639
2019-01-07;799
2019-01-08;1050
2019-01-09;1764
2019-01-10;1150
2019-01-11;991
2019-01-12;1129
2019-01-13;1485
2019-01-14;1716
2019-01-15;2220
2019-01-16;2076
2019-01-17;2949
2019-01-18;1894
2019-01-19;1217
2019-01-20;1140
2019-01-21;1817
2019-01-22;2472
2019-01-23;2151
2019-01-24;1925
2019-01-25;1470
2019-01-26;2158
2019-01-27;1427
2019-01-28;1731
2019-01-29;2084
2019-01-30;3520
2019-01-31;3256
2019-02-01;3636
2019-02-02;2254
2019-02-03;2124
2019-02-04;2159
2019-02-05;1901
2019-02-06;1385
2019-02-07;1658
2019-02-08;2026
2019-02-09;1625
2019-02-10;1287
2019-02-11;2357
2019-02-12;1950
2019-02-13;1018
2019-02-14;764
2019-02-15;1080
2019-02-16;995
2019-02-17;1313
2019-02-18;1359
2019-02-19;971
2019-02-20;1479
2019-02-21;1962
2019-02-22;1851
2019-02-23;3506
2019-02-24;3787
2019-02-25;3452
2019-02-26;2552
2019-02-27;1780
2019-02-28;2657
2019-03-01;2774
2019-03-02;2555
2019-03-03;2863
2019-03-04;3703
2019-03-05;2887
2019-03-06;2664
2019-03-07;3186
2019-03-08;3027
2019-03-09;4913
2019-03-10;5100
2019-03-11;3591
2019-03-12;1369
2019-03-13;2523
2019-03-14;2996
2019-03-15;3248
2019-03-16;2979
2019-03-17;4342
2019-03-18;8264
2019-03-19;13604
2019-03-20;12135
2019-03-21;6639
2019-03-22;3901
2019-03-23;3893
2019-03-24;4799
2019-03-25;4189
2019-03-26;3235
2019-03-27;3993
2019-03-28;3535
2019-03-29;2678
2019-03-30;1173
2019-03-31;1382
2019-04-01;3409
2019-04-02;5130
2019-04-03;3962
2019-04-04;1947
2019-04-05;3698
2019-04-06;4346
2019-04-07;4993
2019-04-08;3395
2019-04-09;755
2019-04-10;814
2019-04-11;724
2019-04-12;1168
2019-04-13;1392
2019-04-14;1372
2019-04-15;554
2019-04-16;532
2019-04-17;928
2019-04-18;1772
2019-04-19;707
2019-04-20;1428
2019-04-21;988
2019-04-22;1346
2019-04-23;1454
2019-04-24;838
2019-04-25;1199
2019-04-26;1193
2019-04-27;1187
2019-04-28;988
2019-04-29;1258
2019-04-30;1245
2019-05-01;839
2019-05-02;605
2019-05-03;530
2019-05-04;507
2019-05-05;732
2019-05-06;1440
2019-05-07;1615
2019-05-08;1374
2019-05-09;1617
2019-05-10;1633
2019-05-11;1411
2019-05-12;905
2019-05-13;997
2019-05-14;1084
2019-05-15;1022
2019-05-16;934
2019-05-17;964
2019-05-18;1036
2019-05-19;960
2019-05-20;1869
2019-05-21;2427
2019-05-22;2967
2019-05-23;2250
2019-05-24;1595
2019-05-25;1717
2019-05-26;2244
2019-05-27;2424
2019-05-28;2943
2019-05-29;3923
2019-05-30;3194
2019-05-31;3451
2019-06-01;2509
2019-06-02;1873
2019-06-03;1879
2019-06-04;2537
2019-06-05;3395
2019-06-06;4144
2019-06-07;3397
2019-06-08;3652
2019-06-09;2755
2019-06-10;2897
2019-06-11;3777
2019-06-12;3391
2019-06-13;3878
2019-06-14;4424
2019-06-15;4885
2019-06-16;3876
2019-06-17;4485
2019-06-18;3597
2019-06-19;3514
2019-06-20;5151
2019-06-21;5972
2019-06-22;5041
2019-06-23;4465
2019-06-24;4521
2019-06-25;5356
2019-06-26;4350
2019-06-27;5108
2019-06-28;5085
2019-06-29;4964
2019-06-30;5200
2019-07-01;4519
2019-07-02;5028
2019-07-03;4408
2019-07-04;4757
2019-07-05;3812
2019-07-06;3765
2019-07-07;3682
2019-07-08;4350
2019-07-09;5460
2019-07-10;7721
2019-07-11;7137
2019-07-12;7617
2019-07-13;6126
2019-07-14;5345
2019-07-15;5592
2019-07-16;5744
2019-07-17;5505
2019-07-18;6390
2019-07-19;5404
2019-07-20;7242
2019-07-21;6002
2019-07-22;7517
2019-07-23;8506
2019-07-24;9599
2019-07-25;9955
2019-07-26;13121
2019-07-27;12271
2019-07-28;11041
2019-07-29;10506
2019-07-30;10687
2019-07-31;14025
2019-08-01;23381
2019-08-02;20311
2019-08-03;29786
2019-08-04;37213
2019-08-05;31329
2019-08-06;25536
2019-08-07;24897
2019-08-08;23517
2019-08-09;28972
2019-08-10;36121
2019-08-11;44799
2019-08-12;43509
2019-08-13;49336
2019-08-14;61154
2019-08-15;49532
2019-08-16;46288
2019-08-17;40912
2019-08-18;33453
2019-08-19;30065
2019-08-20;29154
2019-08-21;27918
2019-08-22;26991
2019-08-23;25862
2019-08-24;27716
2019-08-25;23983
2019-08-26;26738
2019-08-27;27590
2019-08-28;32453
2019-08-29;37933
2019-08-30;34623
2019-08-31;32832
2019-09-01;27769
2019-09-02;24636
2019-09-03;21422
2019-09-04;26582
2019-09-05;27326
2019-09-06;32072
2019-09-07;41513
2019-09-08;49645
2019-09-09;67219
2019-09-10;66279
2019-09-11;55710
2019-09-12;49250
2019-09-13;58258
2019-09-14;54641
2019-09-15;58311
2019-09-16;62753
2019-09-17;50339
2019-09-18;53961
2019-09-19;57706
2019-09-20;55544
2019-09-21;46643
2019-09-22;24439
2019-09-23;27631
2019-09-24;27629
2019-09-25;26700
2019-09-26;18817
2019-09-27;17707
2019-09-28;15297
2019-09-29;9161
2019-09-30;12087
2019-10-01;15136
2019-10-02;12335
2019-10-03;17041
2019-10-04;19078
2019-10-05;11863
2019-10-06;8971
2019-10-07;10600
2019-10-08;16739
2019-10-09;15799
2019-10-10;24758
2019-10-11;24272
2019-10-12;29172
2019-10-13;33911
2019-10-14;25812
2019-10-15;27372
2019-10-16;19528
2019-10-17;19715
2019-10-18;20976
2019-10-19;23628
2019-10-20;12575
2019-10-21;9307
2019-10-22;4820
2019-10-23;8791
2019-10-24;13421
2019-10-25;17200
2019-10-26;15286
2019-10-27;19028
2019-10-28;34036
2019-10-29;33734
2019-10-30;29115
2019-10-31;30588
2019-11-01;25851
2019-11-02;23538
2019-11-03;17669
2019-11-04;19631
2019-11-05;30215
2019-11-06;19898
2019-11-07;20853
2019-11-08;15572
2019-11-09;13972
2019-11-10;11953
2019-11-11;15806
2019-11-12;16740
2019-11-13;16089
2019-11-14;15123
2019-11-15;15379
2019-11-16;10508
2019-11-17;5535
2019-11-18;6739
2019-11-19;8325
2019-11-20;9718
2019-11-21;6307
2019-11-22;6842
2019-11-23;6639
2019-11-24;6543
2019-11-25;11103
2019-11-26;10727
2019-11-27;6822
2019-11-28;9481
2019-11-29;10452
2019-11-30;13340
2019-12-01;11567
2019-12-02;13268
2019-12-03;10753
2019-12-04;7617
2019-12-05;5907
2019-12-06;7710
2019-12-07;8087
2019-12-08;5002
2019-12-09;3897
2019-12-10;4155
2019-12-11;4811
2019-12-12;5695
2019-12-13;3968
2019-12-14;4220
2019-12-15;2912
2019-12-16;3891
2019-12-17;3497
2019-12-18;4536
2019-12-19;5494
2019-12-20;6352
2019-12-21;5020
2019-12-22;5250
2019-12-23;5012
2019-12-24;5095
2019-12-25;2680
2019-12-26;2797
2019-12-27;4582
2019-12-28;2861
2019-12-29;1559
2019-12-30;1640
2019-12-31;1078
2020-01-01;680
2020-01-02;551
2020-01-03;904
2020-01-04;1275
2020-01-05;1317
2020-01-06;1055
2020-01-07;1548
2020-01-08;995
2020-01-09;1135
2020-01-10;1791
2020-01-11;1741
2020-01-12;1635
2020-01-13;2267
2020-01-14;2930
2020-01-15;3589
2020-01-16;3544
2020-01-17;2321
2020-01-18;1481
2020-01-19;1154
2020-01-20;2319
2020-01-21;2176
2020-01-22;557
2020-01-23;873
2020-01-24;1763
2020-01-25;2027
2020-01-26;2195
2020-01-27;3445
2020-01-28;3919
2020-01-29;1219
2020-01-30;1140
2020-01-31;1232
2020-02-01;926
2020-02-02;901
2020-02-03;1449
2020-02-04;986
2020-02-05;1067
2020-02-06;1044
2020-02-07;1440
